"","A","Means","SD"
"num.edges",947,1587,0
"num.pos.edges",652,1535,0
"num.neg.edges",295,52,0
"num.vertices",89,158,0
"connectance",0.241828396322778,0.127952914617431,0
"average.degree",21.2808988764045,20.0886075949367,0
"average.path.length",2.05467468562056,1.93799008304442,0.00286171438989704
"diameter",5,3,0
"edge.connectivity",0,9.825,1.41434627138313
"clustering.coefficient",0.509234178773701,0.127776713205462,0.00318632387028971
"no.clusters",2,1,0
"centralization.degree",0.224080694586313,0.0755184229621866,0.012639602069078
"centralization.betweenness",0.118112094162928,0.00926900817410869,0.00194499015989683
"centralization.closeness",0.0543373295565418,0.0758884932950769,0.00960903618101841
