"","C","Means","SD"
"num.edges",3577,3577,0
"num.pos.edges",2695,2695,0
"num.neg.edges",882,882,0
"num.vertices",220,220,0
"connectance",0.148484848484848,0.148484848484848,0
"average.degree",32.5181818181818,32.5181818181818,0
"average.path.length",2.04234122042341,1.85801552511416,0.000654980086010445
"diameter",4,3,0
"edge.connectivity",11,18.772,1.8075628020302
"clustering.coefficient",0.435321075010287,0.148423404134415,0.00170028745188866
"no.clusters",1,1,0
"centralization.degree",0.171149854711499,0.069684101286841,0.0106144128892834
"centralization.betweenness",0.0192350196657638,0.00469764357416779,0.000879684998163456
"centralization.closeness",0.197295985200311,0.0459310550448369,0.00683787033404067
